,ref,text
21,"{'title': u'Temperature-induced exposure of hydrophobic surfaces and its effect on the chaperone activity of \u03b1-crystallin', 'doi': None, 'authors': ['Kali P Das', 'Witold K Surewicz']}","Surface hydrophobicity is critical for chaperones as these are considered instrumental in interactions with unfolded or misfolded proteins (19), and replacement of any of these hydrophobic residues with hydrophilic residues should result in significant structural alterations, which would then disrupt interaction with misfolded proteins, as reported for some heat-shock proteins (20)"
22,"{'title': 'Hydroimidazolone Modification of the Conserved Arg12 in Small Heat Shock Proteins: Studies on the Structure and Chaperone Function Using Mutant Mimics', 'doi': None, 'authors': ['Ram H Nagaraj', 'Alok Kumar Panda', 'Shilpa Shanthakumar', 'Puttur Santhoshkumar', 'Nagarekha Pasupuleti', 'Benlian Wang', 'Ashis Biswas']}","Surface hydrophobicity is critical for chaperones as these are considered instrumental in interactions with unfolded or misfolded proteins (19), and replacement of any of these hydrophobic residues with hydrophilic residues should result in significant structural alterations, which would then disrupt interaction with misfolded proteins, as reported for some heat-shock proteins (20)"
23,"{'title': 'Chaperone machines in action', 'doi': None, 'authors': ['H R Saibil']}",Increased molecular rearrangements accompanied by higher affinity for unfolded proteins is considered a paradigm of chaperone action (21)
24,"{'title': u'Clusterin Is an ATP\u2212Independent Chaperone with Very Broad Substrate Specificity that Stabilizes Stressed Proteins in a Folding-Competent State\u2020', 'doi': None, 'authors': ['Stephen Poon', 'Simon B Easterbrook-Smith', 'Mark S Rybchyn', 'John A Carver', 'Mark R Wilson']}","Similar examples of proteins that work like a chaperone under cellular stress conditions in the absence of ATP hydrolysis have been reported; these include Clusterin (22), which is a secretory mammalian chaperone, and Spy (23), an E"
25,"{'title': 'Cross-talk between Cellular Stress, Cell Cycle and Anticancer Agents: Mechanistic Aspects', 'doi': None, 'authors': ['E Tiligada', 'V Miligkos', 'A Delitheos']}",Cellular responses to stress can progress to apoptosis or adaptive responses (24)
26,"{'title': 'DNA damage signals facilitate osmotic stress adaptation', 'doi': None, 'authors': [u'D K\xfcltz']}","Stress induces different responses depending upon its nature, duration, and severity (25)"
27,"{'title': 'Endoplasmic Reticulum Stress Signaling in Disease', 'doi': None, 'authors': ['Stefan J Marciniak', 'David Ron']}","Celluar stress is often manifested by the accumulation of unfolded or misfolded proteins in the ER, leading to UPR in eukaryotes (26)"
28,"{'title': 'A Subset of Chaperones and Folding Enzymes Form Multiprotein Complexes in Endoplasmic Reticulum to Bind Nascent Proteins', 'doi': None, 'authors': ['Laurent Meunier', 'Young-Kwang K Usherwood', 'Kyung Tae Chung', 'Linda M Hendershot']}",This is in agreement with literature reports that chaperones are restricted to the ER upon stress to assist in the refolding of misfolded proteins (27).
29,"{'title': 'Treatment end point determinants for pulmonary tuberculosis: Human resistin as a surrogate biomarker', 'doi': None, 'authors': ['Nasreen Z Ehtesham', 'Mohammad Nasiruddin', 'Ayesha Alvi', 'Battula K Kumar', 'Niyaz Ahmed', 'Sundaresh Peri', 'Kolluri J R Murthy', 'Seyed E Hasnain']}",hRes was suggested as a biomarker for disease staging and treatment end-point determination in tuberculosis (29)
30,"{'title': 'Parkin Suppresses Unfolded Protein Stress-induced Cell Death through Its E3 Ubiquitin-protein Ligase Activity', 'doi': None, 'authors': ['Yuzuru Imai', 'Mariko Soda', 'Ryosuke Takahashi']}","Some human disorders, such as Alzheimer's disease, Parkinson's disease, cystic fibrosis, and neuronal damage by ischemia, are related to ER stress, which leads to intraluminal accumulation of unfolded proteins (30)"
31,"{'title': 'From endoplasmic-reticulum stress to the inflammatory response', 'doi': None, 'authors': ['Kezhong Zhang', 'Randal J Kaufman']}","The unfolded protein responses are central to inflammatory disorders, thereby establishing a fine link between protein folding and inflammation (31)."
32,"{'title': u'Human resistin stimulates the pro-inflammatory cytokines TNF-\u03b1 and IL-12 in macrophages by NF-\u03baB-dependent pathway', 'doi': None, 'authors': ['Nirupama Silswal', 'Anil K Singh', 'Battu Aruna', 'Sangita Mukhopadhyay', 'Sudip Ghosh', 'Nasreen Z Ehtesham']}","hRes therefore may have a role in modulating UPR during ER stress under physiological conditions in addition to its role as a regulator of inflammation (4,32)"
33,"{'title': 'The role of resistin as a regulator of inflammation: Implications for various human pathologies', 'doi': None, 'authors': [u'M\xe1ria Filkov\xe1', u'Martin Haluz\xedk', 'Steffen Gay', u'Ladislav \u0160enolt']}","hRes therefore may have a role in modulating UPR during ER stress under physiological conditions in addition to its role as a regulator of inflammation (4,32)"
34,"{'title': u'Human Recombinant Resistin Protein Displays a Tendency To Aggregate by Forming Intermolecular Disulfide Linkages\u2020', 'doi': None, 'authors': ['Battu Aruna', 'Sudip Ghosh', 'Anil K Singh', 'Shekhar C Mande', 'V Srinivas', 'Radha Chauhan', 'Nasreen Z Ehtesham']}","Recombinant proteins (rhRes and F49YrhRes) were purified by affinity chromatography as described (9), and the purity was checked by FPLC and mass spectrometry"
35,"{'title': 'Assaying proteins for molecular chaperone activity', 'doi': None, 'authors': ['J L Garrett']}","One micromolar of each protein, namely of rhRes, F49YrhRes, CS, and Nde1 (5 U), was incubated at 45°C for 45 min, and the aggregation was monitored by light scattering at 320 nm using a PerkinElmer spectrofluorometer as per protocol described earlier (15)."
